0,1,2,3,4,5,6,7,8,9
0,482.97301372717,1148.1999948983,1216.95944625223,1206.18989363052,502.855264721055,658.599564173375,1.43700162880123E-10,562.087804140412,579.898987322454
482.97301372717,0,435.338454054263,460.605481359005,487.115149350897,480.48773235293,669.783330357457,1.43245415529236E-10,646.587370864526,640.374167428931
1148.1999948983,435.338454054263,0,887.659664165612,1068.67099092265,1202.0477580068,649.901079363548,1.43245415529236E-10,581.141628009574,579.898987322457
1216.95944625223,460.605481359005,887.659664165612,0,894.701294725988,1190.44977826035,659.427991298115,1.43245415529236E-10,539.306058209896,596.467529817373
1206.18989363052,487.115149350897,1068.67099092265,894.701294725988,0,972.159230889734,674.339679543549,1.43245415529236E-10,588.183258569917,593.982248443141
502.855264721055,480.48773235293,1202.0477580068,1190.44977826035,972.159230889734,0,625.46247918353,1.43245415529236E-10,567.472580451262,578.242133072964
658.599564173375,669.783330357457,649.901079363548,659.427991298115,674.339679543549,625.46247918353,0,1.43245415529236E-10,792.804758382239,777.893070136807
1.43700162880123E-10,1.43245415529236E-10,1.43245415529236E-10,1.43245415529236E-10,1.43245415529236E-10,1.43245415529236E-10,1.43245415529236E-10,0,1.43245415529236E-10,1.43245415529236E-10
562.087804140412,646.587370864526,581.141628009574,539.306058209896,588.183258569917,567.472580451262,792.804758382239,1.43245415529236E-10,0,367.821643387438
579.898987322454,640.374167428931,579.898987322457,596.467529817373,593.982248443141,578.242133072964,777.893070136807,1.43245415529236E-10,367.821643387438,0
